"Enumeration Name","Entity Code","Entity Name","Deleted","Import-only","Comments","ADIF Version","ADIF Status"
"DXCC_Entity_Code","285","VIRGIN IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","286","UGANDA","","","","3.1.7","Released"
"DXCC_Entity_Code","287","SWITZERLAND","","","","3.1.7","Released"
"DXCC_Entity_Code","288","UKRAINE","","","","3.1.7","Released"
"DXCC_Entity_Code","289","UNITED NATIONS HQ","","","","3.1.7","Released"
"DXCC_Entity_Code","291","UNITED STATES OF AMERICA","","","","3.1.7","Released"
"DXCC_Entity_Code","292","UZBEKISTAN","","","","3.1.7","Released"
"DXCC_Entity_Code","293","VIET NAM","","","","3.1.7","Released"
"DXCC_Entity_Code","294","WALES","","","","3.1.7","Released"
"DXCC_Entity_Code","295","VATICAN","","","","3.1.7","Released"
"DXCC_Entity_Code","296","SERBIA","","","","3.1.7","Released"
"DXCC_Entity_Code","297","WAKE I.","","","","3.1.7","Released"
"DXCC_Entity_Code","298","WALLIS & FUTUNA IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","299","WEST MALAYSIA","","","","3.1.7","Released"
"DXCC_Entity_Code","301","W. KIRIBATI (GILBERT IS. )","","","","3.1.7","Released"
"DXCC_Entity_Code","302","WESTERN SAHARA","","","","3.1.7","Released"
"DXCC_Entity_Code","303","WILLIS I.","","","","3.1.7","Released"
"DXCC_Entity_Code","304","BAHRAIN","","","","3.1.7","Released"
"DXCC_Entity_Code","305","BANGLADESH","","","","3.1.7","Released"
"DXCC_Entity_Code","306","BHUTAN","","","","3.1.7","Released"
"DXCC_Entity_Code","307","ZANZIBAR","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","308","COSTA RICA","","","","3.1.7","Released"
"DXCC_Entity_Code","309","MYANMAR","","","","3.1.7","Released"
"DXCC_Entity_Code","312","CAMBODIA","","","","3.1.7","Released"
"DXCC_Entity_Code","315","SRI LANKA","","","","3.1.7","Released"
"DXCC_Entity_Code","318","CHINA","","","","3.1.7","Released"
"DXCC_Entity_Code","321","HONG KONG","","","","3.1.7","Released"
"DXCC_Entity_Code","324","INDIA","","","","3.1.7","Released"
"DXCC_Entity_Code","327","INDONESIA","","","","3.1.7","Released"
"DXCC_Entity_Code","330","IRAN","","","","3.1.7","Released"
"DXCC_Entity_Code","333","IRAQ","","","","3.1.7","Released"
"DXCC_Entity_Code","336","ISRAEL","","","","3.1.7","Released"
"DXCC_Entity_Code","339","JAPAN","","","","3.1.7","Released"
"DXCC_Entity_Code","342","JORDAN","","","","3.1.7","Released"
"DXCC_Entity_Code","344","DEMOCRATIC PEOPLE'S REP. OF KOREA","","","","3.1.7","Released"
"DXCC_Entity_Code","345","BRUNEI DARUSSALAM","","","","3.1.7","Released"
"DXCC_Entity_Code","348","KUWAIT","","","","3.1.7","Released"
"DXCC_Entity_Code","354","LEBANON","","","","3.1.7","Released"
"DXCC_Entity_Code","363","MONGOLIA","","","","3.1.7","Released"
"DXCC_Entity_Code","369","NEPAL","","","","3.1.7","Released"
"DXCC_Entity_Code","370","OMAN","","","","3.1.7","Released"
"DXCC_Entity_Code","372","PAKISTAN","","","","3.1.7","Released"
"DXCC_Entity_Code","375","PHILIPPINES","","","","3.1.7","Released"
"DXCC_Entity_Code","376","QATAR","","","","3.1.7","Released"
"DXCC_Entity_Code","378","SAUDI ARABIA","","","","3.1.7","Released"
"DXCC_Entity_Code","379","SEYCHELLES","","","","3.1.7","Released"
"DXCC_Entity_Code","381","SINGAPORE","","","","3.1.7","Released"
"DXCC_Entity_Code","382","DJIBOUTI","","","","3.1.7","Released"
"DXCC_Entity_Code","384","SYRIA","","","","3.1.7","Released"
"DXCC_Entity_Code","386","TAIWAN","","","","3.1.7","Released"
"DXCC_Entity_Code","387","THAILAND","","","","3.1.7","Released"
"DXCC_Entity_Code","390","TURKEY","","","","3.1.7","Released"
"DXCC_Entity_Code","391","UNITED ARAB EMIRATES","","","","3.1.7","Released"
"DXCC_Entity_Code","400","ALGERIA","","","","3.1.7","Released"
"DXCC_Entity_Code","401","ANGOLA","","","","3.1.7","Released"
"DXCC_Entity_Code","402","BOTSWANA","","","","3.1.7","Released"
"DXCC_Entity_Code","404","BURUNDI","","","","3.1.7","Released"
"DXCC_Entity_Code","406","CAMEROON","","","","3.1.7","Released"
"DXCC_Entity_Code","408","CENTRAL AFRICA","","","","3.1.7","Released"
"DXCC_Entity_Code","409","CAPE VERDE","","","","3.1.7","Released"
"DXCC_Entity_Code","410","CHAD","","","","3.1.7","Released"
"DXCC_Entity_Code","411","COMOROS","","","","3.1.7","Released"
"DXCC_Entity_Code","412","REPUBLIC OF THE CONGO","","","","3.1.7","Released"
"DXCC_Entity_Code","414","DEMOCRATIC REPUBLIC OF THE CONGO","","","","3.1.7","Released"
"DXCC_Entity_Code","416","BENIN","","","","3.1.7","Released"
"DXCC_Entity_Code","420","GABON","","","","3.1.7","Released"
"DXCC_Entity_Code","422","THE GAMBIA","","","","3.1.7","Released"
"DXCC_Entity_Code","424","GHANA","","","","3.1.7","Released"
"DXCC_Entity_Code","428","COTE D'IVOIRE","","","","3.1.7","Released"
"DXCC_Entity_Code","430","KENYA","","","","3.1.7","Released"
"DXCC_Entity_Code","432","LESOTHO","","","","3.1.7","Released"
"DXCC_Entity_Code","434","LIBERIA","","","","3.1.7","Released"
"DXCC_Entity_Code","436","LIBYA","","","","3.1.7","Released"
"DXCC_Entity_Code","438","MADAGASCAR","","","","3.1.7","Released"
"DXCC_Entity_Code","440","MALAWI","","","","3.1.7","Released"
"DXCC_Entity_Code","442","MALI","","","","3.1.7","Released"
"DXCC_Entity_Code","444","MAURITANIA","","","","3.1.7","Released"
